id,username,is_active,join_date,playmode,playstyle,beatmap_playcounts_count,favourite_beatmapset_count,scores_recent_count,statistics_pp,statistics_accuracy,statistics_play_count,statistics_play_time,statistics_global_rank,statistics_country_rank,statistics_hit_accuracy,statistics_maximum_combo,statistics_level_current
707,bleachla,False,2007-10-05T05:15:38+00:00,osu,,4,0,0,0.0,,183,23790,,,80.5719,0,0
708,shutey,False,2007-10-05T05:35:35+00:00,osu,,0,0,0,0.0,,35,2850,,,85.504,438,11
717,Nccl,False,2007-10-05T12:53:00+00:00,osu,,3,0,0,0.0,,37,3410,,,85.5716,184,8
724,RadioShadow,False,2007-10-05T17:49:48+00:00,osu,,12,0,0,0.0,,309,40170,,,88.6628,0,0
728,protoalex,False,2007-10-05T22:05:22+00:00,osu,,1,2,0,0.0,,37,4810,,,75.5065,0,0
734,ace_zeta,False,2007-10-06T02:20:31+00:00,osu,,4,0,0,0.0,,95,12350,,,82.654,0,0
739,Gilrad,False,2007-10-06T03:46:35+00:00,osu,,36,0,0,0.0,,1288,166440,,,94.2358,245,34
749,Eques_old,False,2007-10-06T13:28:20+00:00,osu,,0,0,0,0.0,,17,2210,,,74.1059,0,0
754,justin901106,False,2007-10-06T15:17:54+00:00,osu,,13,0,0,0.0,,373,24290,,,94.4842,339,18
767,kcf1201,False,2007-10-06T15:41:34+00:00,osu,,0,0,0,0.0,,21,2730,,,78.4753,0,0
779,Keegan_old,False,2007-10-06T17:34:36+00:00,osu,,26,0,0,0.0,,1806,229280,,,86.5195,163,35
782,Junixx_old,False,2007-10-06T18:06:32+00:00,osu,,0,0,0,0.0,,95,6050,,,86.3222,385,13
792,NelsonJ_old,False,2007-10-07T01:00:42+00:00,osu,,0,0,0,0.0,,50,5500,,,66.2361,109,6
813,Jdbye,False,2007-10-07T10:31:29+00:00,osu,,57,1,0,0.0,,1181,124430,,,90.2039,346,34
819,Loginer,False,2007-10-07T11:53:32+00:00,osu,,21,0,0,0.0,,1585,206050,,,89.8781,0,28
825,javiersilva57,False,2007-10-07T16:22:39+00:00,osu,,59,0,0,0.0,,178,15973,,,82.802,190,15
827,Ivalset,False,2007-10-07T19:04:33+00:00,osu,,240,11,0,0.0,,9155,1190150,,,98.2044,0,95
828,Easy_D_old,False,2007-10-07T19:19:26+00:00,osu,,0,0,0,0.0,,18,2340,,,79.7111,0,0
835,wheeliedude,False,2007-10-07T23:40:16+00:00,osu,,0,0,0,0.0,,56,7280,,,88.9955,0,8
843,mothball_old,False,2007-10-08T03:31:42+00:00,osu,,199,0,0,0.0,,3560,347400,,,96.1413,522,63
847,tsanghw,False,2007-10-08T08:23:05+00:00,osu,['mouse'],19,0,0,0.0,,323,34090,,,95.3066,595,24
857,KiraCatgirl,False,2007-10-08T15:49:59+00:00,osu,,8,0,0,0.0,,355,44550,,,89.7708,201,22
860,Krisbam,False,2007-10-08T16:51:34+00:00,osu,,110,0,0,0.0,,4424,329620,,,96.9755,600,60
868,RogerisVGP,False,2007-10-08T20:24:09+00:00,osu,,30,0,0,0.0,,1008,131040,,,89.7374,0,0
869,Twi_old,False,2007-10-08T21:48:36+00:00,osu,,24,0,0,0.0,,744,96720,,,93.5296,0,0
871,ShiningYoshi,False,2007-10-08T22:15:45+00:00,osu,,42,0,0,0.0,,1663,215390,,,91.3859,155,43
873,arukado_old,False,2007-10-09T01:38:00+00:00,osu,,1,0,0,0.0,,9,770,,,75.3594,69,4
876,Megmog_old,False,2007-10-09T02:08:56+00:00,osu,,1,0,0,0.0,,123,15990,,,89.9664,0,0
877,luelinks,False,2007-10-09T02:52:49+00:00,osu,,5,0,0,0.0,,226,24980,,,73.534,129,10
889,Xenochria,False,2007-10-09T13:19:35+00:00,osu,"['keyboard', 'tablet']",155,22,0,0.0,,243,21784,,,89.3115,628,25
